,meal_name,categories
0,Yogurt Classic (m1),{'Breakfast Item'}
1,Coleslaw Special (m2),{'Salad'}
2,Breakfast Tacos Premium (m3),"{'Salad', 'Breakfast Item'}"
3,Peach Tea Deluxe (m4),"{'Soup', 'Beverage'}"
4,Banana Split Mild (m5),"{'Beverage', 'Dessert'}"
5,Hummus with Pita Classic (m6),"{'Salad', 'Main Course', 'Appetizer'}"
6,Gazpacho Deluxe (m7),{'Soup'}
7,Chocolate Cake Special (m8),{'Dessert'}
8,Ramen Special (m9),"{'Salad', 'Soup', 'Appetizer'}"
9,Raspberry Lemonade Mild (m10),{'Beverage'}
10,English Muffin Light (m11),{'Breakfast Item'}
11,Corn on the Cob (m12),{'Side'}
12,French Fries Mild (m13),"{'Appetizer', 'Side'}"
13,Vegetable Soup Special (m14),{'Soup'}
14,Chicken Alfredo (m15),"{'Main Course', 'Salad'}"
15,Milk Spicy (m16),"{'Breakfast Item', 'Beverage'}"
16,Gelato (m17),{'Dessert'}
17,Pineapple Juice Mild (m18),{'Beverage'}
18,Apple Pie (m19),"{'Salad', 'Dessert'}"
19,Chai Latte Mild (m20),{'Beverage'}
20,Beef Burrito Deluxe (m21),"{'Appetizer', 'Main Course', 'Dessert'}"
21,Gelato (m22),"{'Beverage', 'Dessert'}"
22,Potato Salad Mild (m23),"{'Salad', 'Side'}"
23,Potato Leek Soup Light (m24),"{'Main Course', 'Soup'}"
24,Stuffed Mushrooms Deluxe (m25),"{'Side', 'Appetizer'}"
25,Crepes Premium (m26),{'Breakfast Item'}
26,Chicken Souvlaki (m27),"{'Main Course', 'Side'}"
27,Stuffed Mushrooms Spicy (m28),"{'Main Course', 'Breakfast Item', 'Appetizer'}"
28,Green Beans (m29),"{'Main Course', 'Dessert', 'Side'}"
29,Yogurt Premium (m30),{'Breakfast Item'}
30,Donut Special (m31),"{'Main Course', 'Beverage', 'Dessert'}"
31,Pork Schnitzel Mild (m32),"{'Appetizer', 'Main Course', 'Side'}"
32,Milk Premium (m33),{'Beverage'}
33,Grilled Salmon Premium (m34),{'Main Course'}
34,Garlic Bread Light (m35),"{'Salad', 'Soup', 'Side'}"
35,Nachos Classic (m36),{'Appetizer'}
36,Hot Chocolate Deluxe (m37),{'Beverage'}
37,Potato Skins Classic (m38),"{'Main Course', 'Salad', 'Appetizer'}"
38,Tea Premium (m39),{'Beverage'}
39,Pasta Salad Classic (m40),"{'Salad', 'Beverage'}"
40,Chicken Alfredo Deluxe (m41),{'Main Course'}
41,Mediterranean Salad Premium (m42),{'Salad'}
42,Yams Spicy (m43),"{'Soup', 'Side'}"
43,Pancakes Deluxe (m44),{'Breakfast Item'}
44,Beef Stew (m45),"{'Soup', 'Breakfast Item', 'Dessert'}"
45,Beef Carpaccio Special (m46),{'Appetizer'}
46,Pho (m47),{'Soup'}
47,Corn Chowder Deluxe (m48),"{'Salad', 'Soup'}"
48,Stuffing Mild (m49),"{'Soup', 'Dessert', 'Side'}"
49,Polenta (m50),"{'Soup', 'Side'}"
50,Tomato Juice (m51),"{'Salad', 'Beverage', 'Appetizer'}"
51,Chicken Wings Deluxe (m52),"{'Main Course', 'Soup', 'Side'}"
52,Fish Curry Classic (m53),{'Main Course'}
53,Garden Salad Premium (m54),{'Salad'}
54,Pancakes Special (m55),"{'Main Course', 'Breakfast Item'}"
55,Pizza Margherita Special (m56),{'Main Course'}
56,Tea Classic (m57),"{'Salad', 'Beverage'}"
57,Corn on the Cob (m58),"{'Soup', 'Side'}"
58,Nicoise Salad Mild (m59),"{'Salad', 'Main Course'}"
59,Salmon Teriyaki Special (m60),{'Main Course'}
60,Muffin Mild (m61),"{'Soup', 'Breakfast Item', 'Side'}"
61,Mousse Premium (m62),"{'Salad', 'Soup', 'Dessert'}"
62,Raspberry Lemonade Spicy (m63),{'Beverage'}
63,Chicken Souvlaki Spicy (m64),{'Main Course'}
64,Bacon Wrapped Dates Spicy (m65),{'Appetizer'}
65,Beef Carpaccio Special (m66),"{'Main Course', 'Breakfast Item', 'Appetizer'}"
66,Beef Steak Premium (m67),{'Main Course'}
67,English Muffin Classic (m68),"{'Breakfast Item', 'Side'}"
68,Caesar Salad Special (m69),"{'Salad', 'Beverage'}"
69,Stuffing Premium (m70),{'Side'}
70,Soy Milk Spicy (m71),{'Beverage'}
71,Pumpkin Soup Premium (m72),{'Soup'}
72,French Fries Spicy (m73),"{'Appetizer', 'Side'}"
73,Mushroom Soup Classic (m74),"{'Salad', 'Soup'}"
74,Carrot Cake Light (m75),{'Dessert'}
75,Rice Pudding Mild (m76),{'Dessert'}
76,Lentil Soup Light (m77),"{'Salad', 'Soup', 'Side'}"
77,Cereal Special (m78),"{'Breakfast Item', 'Beverage', 'Side'}"
78,Edamame Mild (m79),"{'Soup', 'Appetizer'}"
79,Pho Light (m80),{'Soup'}
80,Chicken Noodle Soup Spicy (m81),{'Soup'}
81,Pork Tenderloin Premium (m82),{'Main Course'}
82,Chicken Noodle Soup Light (m83),"{'Soup', 'Breakfast Item'}"
83,Pumpkin Soup Light (m84),{'Soup'}
84,Kale Salad (m85),"{'Salad', 'Side'}"
85,Flan Mild (m86),{'Dessert'}
86,Asparagus Special (m87),"{'Dessert', 'Side'}"
87,Strawberry Smoothie Classic (m88),"{'Main Course', 'Beverage'}"
88,Creamed Spinach Spicy (m89),"{'Soup', 'Side'}"
89,Panna Cotta Premium (m90),"{'Beverage', 'Dessert'}"
90,Carrot Ginger Soup Special (m91),{'Soup'}
91,Oysters Deluxe (m92),{'Appetizer'}
92,Mashed Potatoes Deluxe (m93),{'Side'}
93,Crème Brûlée Deluxe (m94),"{'Soup', 'Dessert'}"
94,Edamame Premium (m95),{'Side'}
95,Chai Latte Deluxe (m96),{'Beverage'}
96,Ice Cream (m97),{'Dessert'}
97,Gazpacho Special (m98),{'Soup'}
98,Yogurt Premium (m99),{'Breakfast Item'}
99,Chicken Skewers Spicy (m100),"{'Breakfast Item', 'Beverage', 'Appetizer'}"
100,Cauliflower Mash Deluxe (m101),{'Side'}
101,Chicken Skewers (m102),{'Appetizer'}
102,Mango Juice (m103),"{'Salad', 'Breakfast Item', 'Beverage'}"
103,Lamb Chops Mild (m104),{'Main Course'}
104,Fruit Salad Light (m105),{'Salad'}
105,Bagel Light (m106),"{'Soup', 'Breakfast Item'}"
106,Cobbler Classic (m107),"{'Appetizer', 'Dessert'}"
107,Meatball Sub Spicy (m108),{'Main Course'}
108,Oat Milk Light (m109),"{'Breakfast Item', 'Beverage', 'Appetizer'}"
109,Miso Soup Spicy (m110),{'Soup'}
110,Taco Salad (m111),"{'Salad', 'Appetizer'}"
111,Beef Carpaccio Classic (m112),{'Appetizer'}
112,Bruschetta Light (m113),{'Appetizer'}
113,Espresso Premium (m114),"{'Salad', 'Beverage'}"
114,Lemonade Premium (m115),"{'Beverage', 'Appetizer'}"
115,Tiramisu Premium (m116),{'Dessert'}
116,Goat Cheese Crostini Premium (m117),"{'Breakfast Item', 'Appetizer'}"
117,Spinach Salad Spicy (m118),"{'Salad', 'Soup', 'Beverage'}"
118,Chicken Noodle Soup (m119),"{'Main Course', 'Soup'}"
119,Sausage Mild (m120),{'Breakfast Item'}
120,Chocolate Milk Spicy (m121),{'Beverage'}
121,Garlic Bread Classic (m122),{'Side'}
122,Cobbler Spicy (m123),{'Dessert'}
123,Mac and Cheese Premium (m124),{'Side'}
124,Fruit Bowl (m125),"{'Breakfast Item', 'Side'}"
125,Pork Chops Classic (m126),"{'Main Course', 'Beverage'}"
126,Iced Tea Deluxe (m127),"{'Soup', 'Beverage'}"
127,Grilled Zucchini Light (m128),"{'Soup', 'Side'}"
128,Ginger Ale Premium (m129),{'Beverage'}
129,Carrot Ginger Soup Classic (m130),{'Soup'}
130,Cheese Platter Special (m131),{'Appetizer'}
131,Macarons Premium (m132),"{'Breakfast Item', 'Dessert'}"
132,Strawberry Smoothie (m133),"{'Salad', 'Soup', 'Beverage'}"
133,Cheesecake Deluxe (m134),{'Dessert'}
134,Shrimp Cocktail Spicy (m135),{'Appetizer'}
135,Beef Stew Light (m136),{'Soup'}
136,Macarons Special (m137),{'Dessert'}
137,Nicoise Salad Light (m138),"{'Salad', 'Breakfast Item'}"
138,Spinach Salad Mild (m139),{'Salad'}
139,Onion Rings Deluxe (m140),{'Side'}
140,Breakfast Sandwich Special (m141),"{'Breakfast Item', 'Appetizer'}"
141,Corn Chowder Spicy (m142),"{'Soup', 'Side'}"
142,Fish Tacos Light (m143),"{'Main Course', 'Salad', 'Breakfast Item'}"
143,Muffin (m144),"{'Salad', 'Breakfast Item'}"
144,Jalapeño Poppers Premium (m145),{'Appetizer'}
145,Fried Pickles Deluxe (m146),{'Appetizer'}
146,Bagel Spicy (m147),{'Breakfast Item'}
147,Spinach Salad Special (m148),{'Salad'}
148,Roast Turkey Deluxe (m149),"{'Main Course', 'Appetizer'}"
149,Goat Cheese Crostini Premium (m150),{'Appetizer'}
150,Arugula Salad Deluxe (m151),"{'Salad', 'Dessert', 'Appetizer'}"
151,Arugula Salad (m152),{'Salad'}
152,Gelato Special (m153),"{'Salad', 'Dessert'}"
153,Stuffed Mushrooms Classic (m154),"{'Side', 'Beverage', 'Appetizer'}"
154,Gazpacho Mild (m155),{'Soup'}
155,Sausage Deluxe (m156),{'Breakfast Item'}
156,Strawberry Smoothie Premium (m157),"{'Main Course', 'Beverage', 'Appetizer'}"
157,Apple Juice Mild (m158),{'Beverage'}
158,Vegetable Soup (m159),{'Soup'}
159,Nachos (m160),"{'Main Course', 'Dessert', 'Appetizer'}"
160,Bread Pudding Deluxe (m161),{'Dessert'}
161,Split Pea Soup Deluxe (m162),"{'Soup', 'Breakfast Item'}"
162,Tuna Salad Special (m163),"{'Salad', 'Appetizer'}"
163,Hot Tea Mild (m164),{'Beverage'}
164,Espresso Deluxe (m165),"{'Beverage', 'Dessert'}"
165,Hummus with Pita Mild (m166),"{'Main Course', 'Appetizer'}"
166,Mediterranean Salad Light (m167),{'Salad'}
167,Sprite Spicy (m168),"{'Beverage', 'Dessert'}"
168,Vanilla Latte Premium (m169),"{'Beverage', 'Dessert'}"
169,Potato Salad Premium (m170),{'Side'}
170,Pasta Carbonara Light (m171),{'Main Course'}
171,Deviled Eggs Premium (m172),"{'Side', 'Appetizer'}"
172,Tuna Tartare Light (m173),{'Appetizer'}
173,Potato Leek Soup Mild (m174),"{'Soup', 'Beverage'}"
174,Milk Classic (m175),{'Beverage'}
175,Prosciutto Melon Deluxe (m176),{'Appetizer'}
176,Beet Salad Premium (m177),{'Salad'}
177,Green Tea Special (m178),"{'Salad', 'Beverage'}"
