,user_id,meal_occasion,required_categories
0,user_0_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
1,user_1_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
2,user_2_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
3,user_3_breakfast,breakfast,"{'Main Course', 'Beverage'}"
4,user_4_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
5,user_5_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
6,user_6_snacks,snacks,"{'Beverage', 'Dessert'}"
7,user_7_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
8,user_8_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
9,user_9_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
10,user_10_lunch,lunch,"{'Main Course', 'Beverage'}"
11,user_11_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
12,user_12_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
13,user_13_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
14,user_14_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
15,user_15_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
16,user_16_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
17,user_17_breakfast,breakfast,"{'Main Course', 'Beverage'}"
18,user_18_snacks,snacks,{'Beverage'}
19,user_19_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
20,user_20_snacks,snacks,{'Beverage'}
21,user_21_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
22,user_22_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
23,user_23_snacks,snacks,{'Dessert'}
24,user_24_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
25,user_25_snacks,snacks,{'Beverage'}
26,user_26_snacks,snacks,"{'Beverage', 'Appetizer'}"
27,user_27_snacks,snacks,{'Dessert'}
28,user_28_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
29,user_29_lunch,lunch,"{'Main Course', 'Beverage'}"
30,user_30_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
31,user_31_snacks,snacks,{'Beverage'}
32,user_32_snacks,snacks,{'Beverage'}
33,user_33_breakfast,breakfast,"{'Main Course', 'Beverage'}"
34,user_34_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
35,user_35_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
36,user_36_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
37,user_37_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
38,user_38_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
39,user_39_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
40,user_40_snacks,snacks,"{'Beverage', 'Dessert'}"
41,user_41_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
42,user_42_snacks,snacks,{'Beverage'}
43,user_43_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
44,user_44_snacks,snacks,"{'Beverage', 'Appetizer'}"
45,user_45_snacks,snacks,{'Beverage'}
46,user_46_snacks,snacks,{'Dessert'}
47,user_47_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
48,user_48_snacks,snacks,{'Appetizer'}
49,user_49_snacks,snacks,"{'Beverage', 'Dessert'}"
50,user_50_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
51,user_51_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
52,user_52_lunch,lunch,"{'Main Course', 'Beverage'}"
53,user_53_snacks,snacks,{'Dessert'}
54,user_54_snacks,snacks,"{'Beverage', 'Appetizer'}"
55,user_55_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
56,user_56_snacks,snacks,{'Dessert'}
57,user_57_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
58,user_58_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
59,user_59_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
60,user_60_snacks,snacks,"{'Beverage', 'Appetizer'}"
61,user_61_snacks,snacks,"{'Beverage', 'Dessert'}"
62,user_62_breakfast,breakfast,"{'Main Course', 'Beverage'}"
63,user_63_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
64,user_64_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
65,user_65_breakfast,breakfast,"{'Main Course', 'Beverage'}"
66,user_66_snacks,snacks,"{'Beverage', 'Appetizer'}"
67,user_67_snacks,snacks,{'Beverage'}
