agency,agencyId,title,deadline,reference,budget,details,keywords
nsf,nsf03503,"NSF 03 503 2003 CALL FOR NOMINATIONS PAESMEM Presidential Awards for Excellence in Science , Mathematics and Engineering Mentoring",2003-2-28,https://www.nsf.gov/pubs/2003/nsf03503/nsf03503.htm,"200,000",The PAESMEM Program seeks to identify outstanding mentoring efforts that enhance the participation of groups i . e . women minorities and persons with disabilities that are underrepresented in science technology engineering and mathematics . The awardees serve as leaders in the national effort to develop fully the Nation s human resources in science technology engineering and mathematics .,"[""technology"",""engineering"",""mathematics"",""science""]"
nsf,nsf04502,NSF 04 502 2010 Project,2004-1-19,https://www.nsf.gov/pubs/2004/nsf04502/nsf04502.htm,"11,000,000",The Directorate for Biological Sciences BIO of the National Science Foundation NSF announces its intention to continue support of research to determine the function of all genes in the model plant Arabidopsis thaliana by the year 2010 . Individual investigators or groups of investigators will be supported to conduct creative and innovative research designed to determine using all available means the function of a suite of genes of the investigator s interest and choice . This year the Program solicits proposals that focus on understanding the gene circuitry underlying plant processes and proposals to understand the function of genes of unknown function . Also supported will be development of critical research tools for Arabidopsis functional genomics that enable a broad community of scientists to participate in the 2010 Project .,"[""function"",""genes"",""research""]"
nsf,nsf05624,NSF 05 624 2010 Project,2006-1-23,https://www.nsf.gov/pubs/2005/nsf05624/nsf05624.htm,"10,000,000",The Directorate for Biological Sciences BIO of the National Science Foundation NSF announces its intention to continue support of research to determine the function of all genes in the model plant Arabidopsis thaliana by the year 2010 . Individual investigators or groups of investigators will be supported to conduct creative and innovative genome wide or systems level research designed to determine using all available means the functions of Arabidopsis genes . This year the Program will focus on 1 projects that include genome wide analyses for benchmarking the function of all genes in the genome 2 projects that will develop experimental and computational methods tools and resources for enabling a broad community of scientists to conduct functional genomics research on Arabidopsis and 3 research on exemplary networks that use high throughput methods and integrate modeling with experimental data to understand the gene circuitry underlying basic plant processes .,"[""research"",""genome"",""arabidopsis"",""genes""]"
nsf,nsf06612,NSF 06 612 2010 Project,2007-1-29,https://www.nsf.gov/pubs/2006/nsf06612/nsf06612.htm,"9,500,000",The Directorate for Biological Sciences BIO of the National Science Foundation NSF announces its intention to continue support of research to determine the functions of all genes in the model plant Arabidopsis thaliana by the year 2010 . Individual investigators or groups of investigators will be supported to conduct creative and innovative genome wide or systems level research designed to determine using all available means the functions of Arabidopsis genes . This year as in FY 2006 the Program will focus on 1 projects that include genome wide analyses for benchmarking the function of all genes in the genome 2 projects that will develop experimental and computational methods tools and resources for enabling a broad community of scientists to conduct functional genomics research on Arabidopsis and 3 research on exemplary networks that use high throughput methods and integrate modeling with experimental data to understand the gene circuitry underlying basic plant processes . Proposals submitted in response to this solicitation will be reviewed jointly with proposals submitted to the Arabidopsis Functional Genomics Network Program AFGN that is supported by the German agency Deutsche Forschungsgemeinschaft DFG . Both NSF and DFG encourage but do not require submission of joint research proposals when German and US scientists are collaborating on a project . Special instructions are provided in the body of the solicitation for submitting joint research proposals .,"[""research"",""proposals"",""arabidopsis""]"
nsf,nsf07591,NSF 07 591 2010 Project,2008-1-21,https://www.nsf.gov/pubs/2007/nsf07591/nsf07591.htm,"10,000,000",The Directorate for Biological Sciences BIO of the National Science Foundation NSF announces its intention to continue support of research to determine the functions of all genes in the model plant Arabidopsis thaliana by the year 2010 . Individual investigators or groups of investigators will be supported to conduct creative and innovative genome wide or systems level research designed to determine using all available means the functions of Arabidopsis genes . This year as in FY 2007 the Program will focus on 1 research on exemplary networks using high throughput methods and integrating modeling with experimental data to understand the gene circuitry underlying basic plant processes 2 projects that will develop experimental and computational methods tools and resources for enabling a broad community of scientists to conduct functional genomics research on Arabidopsis and 3 projects to perform genome wide analyses of the gene function .,"[""arabidopsis"",""research"",""plant"",""functions"",""methods"",""wide""]"
nsf,nsf09514,NSF 09 514 2010 Project,2009-2-19,https://www.nsf.gov/pubs/2009/nsf09514/nsf09514.htm,"13,000,000",The Directorate for Biological Sciences BIO of the National Science Foundation NSF announces its intention to continue support of research to determine the functions of all genes in the model plant Arabidopsis thaliana by the year 2010 . Individual investigators or groups of investigators will be supported to conduct creative and innovative genome wide or systems level research designed to determine using all available means the functions of Arabidopsis genes . In the final two years the Program will continue to support genome wide analyses and research on biological networks using high throughput methods and integrating modeling with experimental data . Proposals are encouraged in but not limited to the following thematic areas 1 metabolic biology particularly relevant to energy capture and use 2 adaptation to the environment 3 multi scale analysis of genome evolution and genetic systems and 4 developing resources for genome wide experimental approaches to determine gene function in Arabidopsis . Resource proposals will only be accepted in FY 2009 .,"[""genome"",""arabidopsis"",""wide"",""research"",""determine""]"
nsf,nsf04617,NSF 04 617 2010 Project To determine the function of all genes in Arabidopsis thaliana by the year 2010,2005-1-21,https://www.nsf.gov/pubs/2004/nsf04617/nsf04617.htm,"13,000,000",The Directorate for Biological Sciences BIO of the National Science Foundation NSF announces its intention to continue support of research to determine the function of all genes in the model plant Arabidopsis thaliana by the year 2010 . Individual investigators or groups of investigators will be supported to conduct creative and innovative research designed to determine using all available means the function of a suite of genes of the investigator s interest and choice . This year the Program continues to solicit proposals that will use high throughput methods to understand the gene circuitry underlying plant processes and proposals to determine the function of genes of unknown function . Also supported will be development of Arabidopsis functional genomics tools that will enable a broad community of scientists to participate in the 2010 Project .,"[""function"",""determine"",""supported"",""genes""]"
nsf,nsf13532,NSF 13 532 A National Repository for Geological Cores Collected in the Polar Regions,2013-4-16,https://www.nsf.gov/pubs/2013/nsf13532/nsf13532.htm,"275,000",The Antarctic Earth Science Program in the Antarctic Sciences Section of the National Science Foundation s NSF Division of Polar Programs provides support for the curation and long term storage of core material collected on the Antarctic continent and its margins . Currently the Antarctic Marine Geology Research Facility AMGRF at Florida State University is fulfilling this role . The AMGRF was established in 1963 and is housed in a single story 10 000 sq . ft . building on the Florida State University campus . The AMGRF houses approximately 21 000 meters of deep sea sediment cores collected from over 90 United States Antarctic Program USAP research cruises . In addition the AMGRF is also a repository for nearly 3 000 meters of core collected during NSF supported drilling programs in the Antarctic . These projects include the Dry Valleys Drilling Project Cape Roberts Project SHALDRIL 1 and 2 and ANDRILL 1 and 2 . In accordance with NSF policy that all facility awards must be re competed after an appropriate period of operation NSB 08 12 and NSB 08 16 this solicitation seeks the services of a qualified organization to provide a core curation facility and services for geological cores collected in the polar regions . The award will be administered as a Cooperative Agreement and will cover a five year operating period beginning June 1 2014 . A programmatic review will be held prior to the completion of the initial period of support and the results will guide the decision whether to renew the Cooperative Agreement for another five year period .,"[""antarctic"",""facility"",""period"",""amgrf"",""collected""]"
nsf,nsf19547,NSF 19 547 A Science of Science Policy Approach to Analyzing and Innovating the Biomedical Research Enterprise SCISIPBIO,2019-5-08,https://www.nsf.gov/pubs/2019/nsf19547/nsf19547.htm,"2,000,000",The National Science Foundation NSF and the National Institutes of Health NIH are interested in proposals that will propel our understanding of the biomedical research enterprise by drawing from the scientific expertise of the science of science policy research community . NSF promotes the progress of science by maintaining the general health of research and education across all fields of science and engineering . The Social Behavioral and Economic Sciences SBE Directorate within the NSF supports basic research on people and society . The SBE sciences focus on human behavior and social organizations and how social economic political cultural and environmental forces affect the lives of people from birth to old age and how people in turn shape those forces . SBE s Science of Science Discovery Communication and Impact SoS DCI program supports research designed to advance the scientific basis of science and innovation policy . The NIH is the U . S . Federal agency charged with supporting biomedical research in the U . S . The National Institute of General Medical Sciences NIGMS within the NIH supports basic biomedical research that increases understanding of biological processes and lays the foundation for advances in disease diagnosis treatment and prevention . Both the NSF and NIH believe that there are opportunities and needs in building and supporting research projects with a focus on the scientific research enterprise . The two agencies also recognize that when programmatic goals are compatible coordinated management and funding of a research program can have a positive synergistic effect on the level and scope of research and can leverage the investments of both agencies . Therefore NIGMS and SBE are partnering to enable collaboration in research between the SoS DCI program and NIGMS . This partnership will result in a portfolio of high quality research to provide scientific analysis of important aspects of the biomedical research enterprise and efforts to foster a diverse innovative productive and efficient scientific workforce from which future scientific leaders will emerge . Prospective investigators are strongly encouraged to discuss their proposals with the cognizant Program Officers before submission to determine project relevance to the priorities of both SBE and NIGMS . Specific questions pertaining to this solicitation can also be directed to the cognizant Program Officers .,"[""research"",""science"",""scientific"",""program""]"
nsf,nsf08592,NSF 08 592 ACCELERATING DISCOVERY IN SCIENCE AND ENGINEERING THROUGH PETASCALE SIMULATIONS AND ANALYSIS PetaApps,2008-10-30,https://www.nsf.gov/pubs/2008/nsf08592/nsf08592.htm,"18,000,000",This solicitation seeks proposals to develop the future simulation and analysis tools that can use petascale computing to advance the frontiers of scientific and engineering research . Proposals are sought from researchers aiming to capitalize on emerging petascale computing architectures catalyzing potentially transformative research . NSF s emphasis is on implementation and exploitation of forefront techniques . Proposers must be prepared to demonstrate that they have a research problem that requires and can exploit petascale computing capabilities . Proposals from or including junior researchers are encouraged as one of the goals of this solicitation is to build a community capable of using petascale computing .,"[""petascale"",""computing"",""research"",""proposals""]"
