,nsf_proposal_links_v1,title,synopsis
0,https://www.nsf.gov/pubs/2020/nsf20540/nsf20540.htm,NSF-Simons Research Collaborations on the Mathematical and Scientific Foundations of Deep Learning,"The National Science Foundation Directorates for Mathematical and Physical Sciences (MPS), Computer and Information Science and Engineering (CISE), Engineering (ENG), and the Simons Foundation Division of Mathematics and Physical Sciences will jointly sponsor up to two new research collaborations consisting of mathematicians, statisticians, electrical engineers, and theoretical computer scientists. Research activities will be focused on explicit topics involving some of the most challenging questions in the general area of Mathematical and Scientific Foundations of Deep Learning. Each collaboration will conduct training through research involvement of recent doctoral degree recipients, graduate students, and/or undergraduate students from across this multi-disciplinary spectrum. Annual meetings of the Principal Investigators (“PIs”) and other principal researchers involved in the collaborations will be held at the Simons Foundation in New York City. This program complements NSF's National Artificial Intelligence Research Institutes program by supporting collaborative research focused on the mathematical and scientific foundations of Deep Learning through a different modality and at a different scale."
1,https://www.nsf.gov/pubs/2018/nsf18501/nsf18501.htm,Collaborative Research in Computational Neuroscience,"Computational neuroscience provides a theoretical foundation and a rich set of technical approaches for understanding complex neurobiological systems, building on the theory, methods, and findings of computer science, neuroscience, and numerous other disciplines."
2,https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,Collaborative Research in Computational Neuroscience,"Computational neuroscience provides a theoretical foundation and a rich set of technical approaches for understanding complex neurobiological systems, building on the theory, methods, and findings of computer science, neuroscience, and numerous other disciplines."
3,https://www.nsf.gov/pubs/2018/nsf18591/nsf18591.htm,Collaborative Research in Computational Neuroscience,"Computational neuroscience provides a theoretical foundation and a rich set of technical approaches for understanding complex neurobiological systems, building on the theory, methods, and findings of computer science, neuroscience, and numerous other disciplines."
4,https://www.nsf.gov/pubs/2008/nsf08514/nsf08514.htm,Collaborative Research in Computational Neuroscience,"Computational neuroscience provides a theoretical foundation and a rich set of technical approaches for understanding the functions of complex neurobiological systems, building on the theory, methods, and findings of computer science, neuroscience, and numerous other disciplines.  Through the CRCNS program, participating NSF Directorates and NIH Institutes support innovative interdisciplinary collaborative research to make significant advances in the understanding of nervous system function, mechanisms underlying nervous system disorders, and computational strategies used by the nervous system."
5,https://www.nsf.gov/pubs/2003/nsf03600/nsf03600.htm,Artificial Intelligence & Cognitive Science,The Artificial Intelligence and Cognitive Science
6,https://www.nsf.gov/pubs/2015/nsf15595/nsf15595.htm,Collaborative Research in Computational Neuroscience,"Computational neuroscience provides a theoretical foundation and a rich set of technical approaches for understanding complex neurobiological systems, building on the theory, methods, and findings of computer science, neuroscience, and numerous other disciplines."
7,https://www.nsf.gov/pubs/2014/nsf14504/nsf14504.htm,Collaborative Research in Computational Neuroscience,"Computational neuroscience provides a theoretical foundation and a rich set of technical approaches for understanding complex neurobiological systems, building on the theory, methods, and findings of computer science, neuroscience, and numerous other disciplines."
8,https://www.nsf.gov/pubs/2016/nsf16607/nsf16607.htm,Collaborative Research in Computational Neuroscience,"Computational neuroscience provides a theoretical foundation and a rich set of technical approaches for understanding complex neurobiological systems, building on the theory, methods, and findings of computer science, neuroscience, and numerous other disciplines."
9,https://www.nsf.gov/pubs/2011/nsf11505/nsf11505.htm,Collaborative Research in Computational Neuroscience,"Computational neuroscience provides a theoretical foundation and a rich set of technical approaches for understanding complex neurobiological systems, building on the theory, methods, and findings of computer science, neuroscience, and numerous other disciplines."
10,https://www.nsf.gov/pubs/2003/nsf03512/nsf03512.htm,NSF Funding Opportunity Document: SENSORS AND SENSOR NETWORKS,"The National Science Foundation (NSF), through the Directorate for Engineering and the Directorate for Computer and Information Science and Engineering, announces a broad interdisciplinary program of research and education in the area of advanced sensor development. This solicitation seeks to advance fundamental knowledge in the areas of sensor design, materials and concepts, including sensors for toxic chemicals, explosives and biological agents, sensor networking systems in a distributed environment, the integration of sensors into engineered systems, and the interpretation and use of sensor data in decision-making processes. The Directorate for Mathematical and Physical Sciences, the Directorate for Biological Sciences, the Directorate for Geosciences, and the Office of Polar Programs plan to participate in the reviews and identify proposals of mutual interest and may provide co-funding for programs of high quality that meet their programmatic requirements."
11,https://www.nsf.gov/pubs/2004/nsf04522/nsf04522.htm,Sensors and Sensor Networks nsf04522,The National Science Foundation (NSF) announces
12,https://www.nsf.gov/pubs/2010/nsf10614/nsf10614.htm,Nanoelectronics for 2020 and Beyond (NEB),"The National Science Foundation (NSF), through its Directorates for Engineering, Mathematical and Physical Sciences, and Computer & Information Science & Engineering, together with the semiconductor industry’s Nanoelectronics Research Initiative (NRI) plan to jointly support innovative research and education activities on the topic of Nanoelectronics for 2020 and Beyond (NEB). These activities will be supported as interdisciplinary research team awards."
13,https://www.nsf.gov/pubs/2005/nsf05526/nsf05526.htm,Sensors and Sensor Networks (Sensors),"The National Science Foundation (NSF), through the"
14,https://www.nsf.gov/pubs/2004/nsf04540/nsf04540.htm,Research in Networking Technology and Systems,Computer and communications networks are among society's most important
15,https://www.nsf.gov/pubs/2016/nsf16537/nsf16537.htm,Enhancing Access to the Radio Spectrum,"The National Science Foundation's Directorates for Computer and Information Science and Engineering (CISE), Engineering (ENG), and Mathematical and Physical Sciences (MPS) are coordinating efforts to identify bold new concepts with the potential to contribute towards significant improvements in the efficiency of radio spectrum utilization, protection of passive sensing services, and the ability for traditionally underserved Americans to benefit from current and future wireless-enabled goods and services. This EARS program solicitation seeks to fund innovative collaborative research addressing large-scale challenges that transcend the traditional boundaries of existing programs."
16,https://www.nsf.gov/pubs/2015/nsf15550/nsf15550.htm,Enhancing Access to the Radio Spectrum,"The National Science Foundation's Directorates for Mathematical and Physical Sciences (MPS), Engineering (ENG), and Computer and Information Science and Engineering (CISE) are coordinating efforts to identify bold new concepts with the potential to contribute to significant improvements in the efficiency of radio spectrum utilization, protection of passive sensing services, and in the ability for traditionally underserved Americans to benefit from current and future wireless-enabled goods and services. EARS seeks to fund innovative collaborative research that transcends the traditional boundaries of existing programs, such as research that spans disciplines covered by two or more of the participating NSF directorates."
17,https://www.nsf.gov/pubs/2016/nsf16604/nsf16604.htm,Scalable Nanomanufacturing for Integrated Systems,The National Science Foundation (NSF) announces a 7th (seventh) year of a solicitation on collaborative research and education in the area of Scalable Nanomanufacturing for Integrated Systems (SNM-IS). This solicitation is in response to and is a component of the National Nanotechnology Initiative (NNI) Signature Initiative: Sustainable Nanomanufacturing - Creating the Industries of the Future (http://www.nano.gov/NSINanomanufacturing).
18,https://www.nsf.gov/pubs/2020/nsf20511/nsf20511.htm,Addressing Systems Challenges through Engineering Teams (ASCENT) (nsf20511) | NSF - National Science Foundation,"The Electrical, Communications and Cyber Systems Division (ECCS) supports enabling and transformative engineering research at the nano, micro, and macro scales that fuels progress in engineering system applications with high societal impact. This includes fundamental engineering research underlying advanced devices and components and their seamless penetration in power, controls, networking, communications or cyber systems. The research is envisioned to be empowered by cutting-edge computation, synthesis, evaluation, and analysis technologies and is to result in significant impact for a variety of application domains in healthcare, homeland security, disaster mitigation, telecommunications, energy, environment, transportation, manufacturing, and other systems-related areas. ECCS also supports new and emerging research areas encompassing 5G and Beyond Spectrum and Wireless Technologies, Quantum Information Science, Artificial Intelligence, Machine Learning, and Big Data."
19,https://www.nsf.gov/pubs/2006/nsf06516/nsf06516.htm,Networking Technology and Systems (NeTS),"Computer and communication networks are among society's most important infrastructures. Networks are vital to the operation of many sectors of our society — from financial and manufacturing to education and healthcare — and they are engines for economic growth. However, with the existing network architecture stressed and reaching the limits of its capabilities, significant innovations are necessary to give rise to new applications and to meet current and future demands on the existing Internet."
