,names,descriptions,titles,research
0,"Agostinelli, Forest",Assistant Professor,Faculty,"['Artificial Intelligence, Deep Learning, Reinforcement Learning, Search, Bioinformatics']"
1,"Ahmad, Iftikhar",Assistant Professor,Faculty,"['Previous position Senior Scientist , Sensor Electronic Technology , Inc . Ph . D . Texas Tech UniversityResearch interests growth and study of ultra wide bandgap semiconductors including high aluminum content AlGaN , boron nitride and gallium oxide , fabrication of novel high power electronic and photonic devices , and computer simulation of these devices']"
2,"Alexeev, Oleg S.","Research Professor, Chemical Engineering",Faculty,"['Ph . D . , Boreskov Institute of Catalysis , Novosibirsk , RussiaM . S . , Novosibirsk State University , Novosibirsk , RussiaCatalytic processes on surfaces take place through sequences of elementary reactions involving adsorbed reactants , products , and reaction intermediates associated with active sites on the catalyst surface . Our research goals are focused on fundamental understanding of the structure of the metal support interface , structures of metal clusters on supports , and the influence of promoters on the structure and catalytic properties of supported metal clusters and aggregates . The objectives of our research program are pursued through an application of a combination of various experimental methods to the characterization of catalytic materials . Spectroscopic techniques , including TPD , TPR , FTIR , XPS , HRTEM , XRD , UV Visible , and EXAFS , are used to characterize active sites of catalysts and adsorbed species under actual conditions of catalysis . Considerable information gained from these techniques along with the chemisorption and catalytic data is used to establish the dependence of catalytic properties on metal cluster or particle sizes , the structure of active sites , and the structure of the metal support interface .']"
3,"Ali, Mohammod","Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A32301 Main StreetColumbia , SC 29208Dr . Mohammod Ali is a professor in the Department of Electrical Engineering at the University of South Carolina USC . As of July 2019 , he has been working as a Program Director at the National Science Foundation NSF under IPA Intergovernmental Personnel Act assignment in the Division of Electrical , Communications , and Cyber Systems for the Directorate of Engineering . Prof . Ali received his B . Sc . in Electrical and Electronic Engineering from the Bangladesh University of Engineering and Technology , Dhaka in 1987 . He received his M . A . Sc . and Ph . D . degrees in Electrical Engineering in 1994 and 1997 , respectively from the University of Victoria , British Columbia , Canada .']"
4,"Ammal, Salai C.","Research Assistant Professor, Chemical Engineering",Faculty,"['CV of Dr . Ammal pdfPh . D . , Bharathidasan University , India , 1998M . S . , Bharathidasan University , India , 1992']"
5,"Bakos, Jason D. ","Professor, Computer Science & Engineering",Faculty,"['computer architecture, reconfigurable computing, heterogeneous computing, high performance computing, embedded systems']"
6,"Banerjee, Sourav ","Associate Professor, Mechanical Engineering",Faculty,"['Wave Propagation, Ultrasonics, Acoustics, Metamaterials, Biomedical']"
7,"Bayat, Mahmoud",Research Associate Professor,Faculty,"['Structural Health Monitoring, Probabilistic Analysis, Nonlinear Vibrations, Machine Learning, Earthquake Eng']"
8,"Bayoumi, Abdel-Moez E. ","Professor Mechanical Engineering, Biomedical Engineering ",Faculty,"['300 Main StreetRoom A223Columbia , SC 29208Dr . Bayoumi has about 40 years teaching , research and industry experience . He is currently the Director of the McNair Aerospace Center , Director of the Center for Predictive Maintenance , Associate Dean for Corporate Relations and Professor of Mechanical and Biomedical Engineering . Prior to joining USC , he was Professor of Mechanical and Aerospace Engineering at North Carolina State University , a project manager at Hewlett Packard Company , and Professor of Mechanical and Materials Engineering at Washington State University . He has been actively involved in developing strong programs in mechanical , biomedical , nuclear and aerospace engineering . His research activities have been focused in mechanical behavior of materials , tribology , diagnosis and prognosis and life predictions of mechanical systems , manufacturing processes , health monitoring systems , condition based maintenance , and digital transformation . Dr . Bayoumi has received more than 35M in funding from the US Department of Defense , US Department of Energy , US National Science Foundation and various US industries . He has published over 150 journal and conference papers']"
9,"Benigni, Andrea","Affiliate Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A80301 Main StreetColumbia , SC 29208']"
