user_id,meal_occasion,K_meals,team,team_size,req_categories,covered_categories,coverage_pct,goodness_ultra
user_0_breakfast,breakfast,3,"['Milk Spicy (m16)', 'Cereal Special (m78)', 'Chicken Skewers Spicy (m100)']",3,2,2,100.0,0.575
user_1_breakfast,breakfast,3,"['Cereal Special (m78)', 'Mango Juice Spicy (m233)', 'Breakfast Sandwich Special (m898)']",3,3,3,100.0,0.575
user_2_breakfast,breakfast,3,"['Milk Spicy (m16)', 'Cereal Special (m78)', 'Chicken Skewers Spicy (m100)']",3,2,2,100.0,0.575
user_3_breakfast,breakfast,3,"['Donut Special (m31)', 'Strawberry Smoothie Classic (m88)', 'Pork Chops Classic (m126)']",3,2,2,100.0,0.575
user_4_lunch,lunch,3,"['Spinach Salad Spicy (m118)', 'Strawberry Smoothie (m133)', 'Vegetable Soup Spicy (m804)']",3,3,3,100.0,0.575
user_5_lunch,lunch,3,"['Cranberry Juice Spicy (m320)', 'Kale Salad (m358)', 'Chicken Alfredo Premium (m591)']",3,3,3,100.0,0.575
user_6_snacks,snacks,3,"['Banana Split Mild (m5)', 'Gelato (m22)', 'Donut Special (m31)']",3,2,2,100.0,0.575
user_7_dinner,dinner,3,"['Fish Tacos Spicy (m1561)', 'Couscous Classic (m1639)', 'Chicken Souvlaki (m27)']",3,3,3,100.0,0.575
user_8_dinner,dinner,3,"['Fish Tacos Spicy (m1561)', 'Beef Burrito Deluxe (m21)', 'Stuffed Mushrooms Classic (m154)']",3,5,5,100.0,0.55
user_9_breakfast,breakfast,3,"['Milk Spicy (m16)', 'Cereal Special (m78)', 'Chicken Skewers Spicy (m100)']",3,2,2,100.0,0.575
user_10_lunch,lunch,3,"['Donut Special (m31)', 'Strawberry Smoothie Classic (m88)', 'Pork Chops Classic (m126)']",3,2,2,100.0,0.575
user_11_dinner,dinner,3,"['Fish Tacos Spicy (m1561)', 'Chicken Wings Deluxe (m52)', 'Mocha Classic (m285)']",3,4,4,100.0,0.575
user_12_lunch,lunch,3,"['Fish Tacos Spicy (m1561)', 'Chicken Wings Deluxe (m52)', 'Mocha Classic (m285)']",3,4,4,100.0,0.575
user_13_dinner,dinner,3,"['Fish Tacos Spicy (m1561)', 'Beef Burrito Deluxe (m21)', 'Stuffed Mushrooms Classic (m154)']",3,5,5,100.0,0.55
user_14_dinner,dinner,3,"['Fish Tacos Spicy (m1561)', 'Chicken Wings Deluxe (m52)', 'Mocha Classic (m285)']",3,4,4,100.0,0.575
user_15_breakfast,breakfast,3,"['Cereal Special (m78)', 'Mango Juice Spicy (m233)', 'Breakfast Sandwich Special (m898)']",3,3,3,100.0,0.575
user_16_dinner,dinner,3,"['Fish Tacos Spicy (m1561)', 'Gelato Special (m389)', 'Hot Tea Spicy (m277)']",3,5,5,100.0,0.55
user_17_breakfast,breakfast,3,"['Donut Special (m31)', 'Strawberry Smoothie Classic (m88)', 'Pork Chops Classic (m126)']",3,2,2,100.0,0.575
user_18_snacks,snacks,3,"['Peach Tea Deluxe (m4)', 'Banana Split Mild (m5)', 'Raspberry Lemonade Mild (m10)']",3,1,1,100.0,0.575
user_19_lunch,lunch,3,"['Fish Tacos Spicy (m1561)', 'Couscous Classic (m1639)', 'Chicken Souvlaki (m27)']",3,3,3,100.0,0.575
user_20_snacks,snacks,3,"['Peach Tea Deluxe (m4)', 'Banana Split Mild (m5)', 'Raspberry Lemonade Mild (m10)']",3,1,1,100.0,0.575
user_21_dinner,dinner,3,"['Fish Tacos Spicy (m1561)', 'Green Beans (m29)', 'Donut Special (m31)']",3,4,4,100.0,0.575
user_22_dinner,dinner,3,"['Fish Tacos Spicy (m1561)', 'Pork Schnitzel Mild (m32)', 'Strawberry Smoothie Premium (m157)']",3,4,4,100.0,0.575
user_23_snacks,snacks,3,"['Banana Split Mild (m5)', 'Chocolate Cake Special (m8)', 'Gelato (m17)']",3,1,1,100.0,0.575
user_24_dinner,dinner,3,"['Fish Tacos Spicy (m1561)', 'Couscous Classic (m1639)', 'Chicken Souvlaki (m27)']",3,3,3,100.0,0.575
user_25_snacks,snacks,3,"['Peach Tea Deluxe (m4)', 'Banana Split Mild (m5)', 'Raspberry Lemonade Mild (m10)']",3,1,1,100.0,0.575
user_26_snacks,snacks,3,"['Tomato Juice (m51)', 'Chicken Skewers Spicy (m100)', 'Oat Milk Light (m109)']",3,2,2,100.0,0.575
user_27_snacks,snacks,3,"['Banana Split Mild (m5)', 'Chocolate Cake Special (m8)', 'Gelato (m17)']",3,1,1,100.0,0.575
user_28_dinner,dinner,3,"['Fish Tacos Spicy (m1561)', 'Pork Schnitzel Mild (m32)', 'Strawberry Smoothie Premium (m157)']",3,4,4,100.0,0.575
user_29_lunch,lunch,3,"['Donut Special (m31)', 'Strawberry Smoothie Classic (m88)', 'Pork Chops Classic (m126)']",3,2,2,100.0,0.575
user_30_dinner,dinner,3,"['Fish Tacos Spicy (m1561)', 'Chicken Wings Deluxe (m52)', 'Mocha Classic (m285)']",3,4,4,100.0,0.575
user_31_snacks,snacks,3,"['Peach Tea Deluxe (m4)', 'Banana Split Mild (m5)', 'Raspberry Lemonade Mild (m10)']",3,1,1,100.0,0.575
user_32_snacks,snacks,3,"['Peach Tea Deluxe (m4)', 'Banana Split Mild (m5)', 'Raspberry Lemonade Mild (m10)']",3,1,1,100.0,0.575
user_33_breakfast,breakfast,3,"['Donut Special (m31)', 'Strawberry Smoothie Classic (m88)', 'Pork Chops Classic (m126)']",3,2,2,100.0,0.575
user_34_breakfast,breakfast,3,"['Milk Spicy (m16)', 'Cereal Special (m78)', 'Chicken Skewers Spicy (m100)']",3,2,2,100.0,0.575
user_35_breakfast,breakfast,3,"['Cereal Special (m78)', 'Mango Juice Spicy (m233)', 'Breakfast Sandwich Special (m898)']",3,3,3,100.0,0.575
user_36_breakfast,breakfast,3,"['Cereal Special (m78)', 'Mango Juice Spicy (m233)', 'Breakfast Sandwich Special (m898)']",3,3,3,100.0,0.575
