user_id,meal_occasion,lead_meal,meal_bundle,goodness_score
user_0_breakfast,breakfast,Milk Spicy (m16),"['Milk Spicy (m16)', 'Cereal Special (m78)', 'Chicken Skewers Spicy (m100)']",0.575
user_1_breakfast,breakfast,Cereal Special (m78),"['Cereal Special (m78)', 'Mango Juice Spicy (m233)', 'Breakfast Sandwich Special (m898)']",0.575
user_2_breakfast,breakfast,Milk Spicy (m16),"['Milk Spicy (m16)', 'Cereal Special (m78)', 'Chicken Skewers Spicy (m100)']",0.575
user_3_breakfast,breakfast,Donut Special (m31),"['Donut Special (m31)', 'Strawberry Smoothie Classic (m88)', 'Pork Chops Classic (m126)']",0.575
user_4_lunch,lunch,Spinach Salad Spicy (m118),"['Spinach Salad Spicy (m118)', 'Strawberry Smoothie (m133)', 'Vegetable Soup Spicy (m804)']",0.575
user_5_lunch,lunch,Cranberry Juice Spicy (m320),"['Cranberry Juice Spicy (m320)', 'Kale Salad (m358)', 'Chicken Alfredo Premium (m591)']",0.575
user_6_snacks,snacks,Banana Split Mild (m5),"['Banana Split Mild (m5)', 'Gelato (m22)', 'Donut Special (m31)']",0.575
user_7_dinner,dinner,Fish Tacos Spicy (m1561),"['Fish Tacos Spicy (m1561)', 'Couscous Classic (m1639)', 'Chicken Souvlaki (m27)']",0.575
user_8_dinner,dinner,Fish Tacos Spicy (m1561),"['Fish Tacos Spicy (m1561)', 'Beef Burrito Deluxe (m21)', 'Stuffed Mushrooms Classic (m154)']",0.55
user_9_breakfast,breakfast,Milk Spicy (m16),"['Milk Spicy (m16)', 'Cereal Special (m78)', 'Chicken Skewers Spicy (m100)']",0.575
user_10_lunch,lunch,Donut Special (m31),"['Donut Special (m31)', 'Strawberry Smoothie Classic (m88)', 'Pork Chops Classic (m126)']",0.575
user_11_dinner,dinner,Fish Tacos Spicy (m1561),"['Fish Tacos Spicy (m1561)', 'Chicken Wings Deluxe (m52)', 'Mocha Classic (m285)']",0.575
user_12_lunch,lunch,Fish Tacos Spicy (m1561),"['Fish Tacos Spicy (m1561)', 'Chicken Wings Deluxe (m52)', 'Mocha Classic (m285)']",0.575
user_13_dinner,dinner,Fish Tacos Spicy (m1561),"['Fish Tacos Spicy (m1561)', 'Beef Burrito Deluxe (m21)', 'Stuffed Mushrooms Classic (m154)']",0.55
user_14_dinner,dinner,Fish Tacos Spicy (m1561),"['Fish Tacos Spicy (m1561)', 'Chicken Wings Deluxe (m52)', 'Mocha Classic (m285)']",0.575
user_15_breakfast,breakfast,Cereal Special (m78),"['Cereal Special (m78)', 'Mango Juice Spicy (m233)', 'Breakfast Sandwich Special (m898)']",0.575
user_16_dinner,dinner,Fish Tacos Spicy (m1561),"['Fish Tacos Spicy (m1561)', 'Gelato Special (m389)', 'Hot Tea Spicy (m277)']",0.55
user_17_breakfast,breakfast,Donut Special (m31),"['Donut Special (m31)', 'Strawberry Smoothie Classic (m88)', 'Pork Chops Classic (m126)']",0.575
user_18_snacks,snacks,Peach Tea Deluxe (m4),"['Peach Tea Deluxe (m4)', 'Banana Split Mild (m5)', 'Raspberry Lemonade Mild (m10)']",0.575
