user_id,meal_occasion,lead_researcher,team,goodness_score
user_0_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_1_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_2_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_3_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_4_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_5_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_6_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_7_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_8_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Mac and Cheese (m191)']",0.45
user_9_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_10_lunch,lunch,Donut Special (m31),['Donut Special (m31)'],0.4
user_11_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Banana Split Mild (m5)']",0.425
user_12_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Banana Split Mild (m5)']",0.425
user_13_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Mac and Cheese (m191)']",0.45
user_14_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_15_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_16_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Tomato Juice (m51)']",0.425
user_17_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_18_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_19_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_20_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_21_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Peach Tea Deluxe (m4)']",0.425
user_22_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Raspberry Lemonade Mild (m10)']",0.425
user_23_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_24_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_25_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_26_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_27_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_28_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Raspberry Lemonade Mild (m10)']",0.425
user_29_lunch,lunch,Donut Special (m31),['Donut Special (m31)'],0.4
user_30_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Banana Split Mild (m5)']",0.425
user_31_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_32_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_33_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_34_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_35_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_36_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_37_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_38_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_39_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Cereal Special (m78)']",0.425
user_40_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_41_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Peach Tea Deluxe (m4)']",0.425
user_42_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_43_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_44_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_45_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_46_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_47_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_48_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_49_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_50_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_51_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Banana Split Mild (m5)']",0.45625
user_52_lunch,lunch,Donut Special (m31),['Donut Special (m31)'],0.4
user_53_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_54_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_55_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_56_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_57_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Pasta Salad Classic (m40)']",0.425
user_58_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_59_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Banana Split Mild (m5)']",0.425
user_60_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_61_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_62_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_63_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_64_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_65_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_66_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_67_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_68_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Raspberry Lemonade Mild (m10)']",0.425
user_69_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Cereal Special (m78)']",0.425
user_70_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_71_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_72_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_73_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_74_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_75_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Banana Split Mild (m5)']",0.425
user_76_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_77_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_78_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_79_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_80_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_81_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_82_lunch,lunch,Donut Special (m31),['Donut Special (m31)'],0.4
user_83_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_84_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Cereal Special (m78)']",0.425
user_85_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_86_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_87_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_88_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_89_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_90_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_91_lunch,lunch,Donut Special (m31),['Donut Special (m31)'],0.4
user_92_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_93_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_94_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_95_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_96_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_97_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_98_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_99_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_100_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_101_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_102_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_103_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_104_lunch,lunch,Donut Special (m31),['Donut Special (m31)'],0.4
user_105_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_106_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_107_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_108_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_109_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_110_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_111_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_112_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Tomato Juice (m51)']",0.425
user_113_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_114_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Tomato Juice (m51)']",0.425
user_115_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_116_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Raspberry Lemonade Mild (m10)']",0.425
user_117_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_118_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_119_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_120_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_121_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_122_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_123_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_124_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_125_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_126_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_127_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_128_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Stuffed Mushrooms Classic (m154)']",0.45
user_129_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_130_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_131_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_132_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Stuffed Mushrooms Classic (m154)']",0.45
user_133_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Peach Tea Deluxe (m4)']",0.425
user_134_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_135_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_136_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_137_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_138_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_139_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_140_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_141_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Banana Split Mild (m5)']",0.425
user_142_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_143_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_144_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_145_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_146_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_147_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_148_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Raspberry Lemonade Mild (m10)']",0.425
user_149_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Banana Split Mild (m5)']",0.425
user_150_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_151_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_152_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Stuffed Mushrooms Classic (m154)']",0.45
user_153_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Raspberry Lemonade Mild (m10)']",0.425
user_154_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_155_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_156_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_157_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_158_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_159_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_160_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_161_lunch,lunch,Donut Special (m31),['Donut Special (m31)'],0.4
user_162_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_163_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Raspberry Lemonade Mild (m10)']",0.425
user_164_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_165_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_166_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_167_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_168_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Raspberry Lemonade Mild (m10)']",0.425
user_169_lunch,lunch,Donut Special (m31),['Donut Special (m31)'],0.4
user_170_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_171_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_172_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_173_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
