user_id,meal_occasion,lead_meal,meal_bundle,goodness_score
user_0_breakfast,breakfast,Biscuits and Gravy Special (m969),"['Biscuits and Gravy Special (m969)', 'Orange Juice Premium (m1460)', 'Chicken Skewers Light (m1703)']",0.5125
user_1_breakfast,breakfast,Caprese Salad (m1810),"['Caprese Salad (m1810)', 'Tomato Juice (m299)', 'Breakfast Sandwich Spicy (m1078)']",0.325
user_2_breakfast,breakfast,Stuffed Mushrooms Special (m544),"['Stuffed Mushrooms Special (m544)', 'Rice Pudding Deluxe (m1643)', 'Pancakes Deluxe (m1666)', 'Vegetable Curry (m1453)']",0.2875
user_3_breakfast,breakfast,Rice Pilaf Premium (m859),"['Rice Pilaf Premium (m859)', 'Deviled Eggs Special (m1099)']",0.05
user_4_lunch,lunch,Fruit Salad Special (m1025),"['Fruit Salad Special (m1025)', 'Pork Chops Spicy (m1783)', 'Cheesecake Special (m1787)', 'English Muffin Light (m11)', 'Pepsi Mild (m760)']",0.41666666666666663
user_5_lunch,lunch,Asparagus Premium (m1529),"['Asparagus Premium (m1529)', 'Corn on the Cob (m58)', 'Butternut Squash Soup Classic (m1421)', 'Pizza Margherita (m1107)']",0.225
user_6_snacks,snacks,Jalapeño Poppers Premium (m145),"['Jalapeño Poppers Premium (m145)', 'Chicken Fried Rice Premium (m248)', 'Rice Pilaf Premium (m859)']",0.2625
user_7_dinner,dinner,Split Pea Soup Light (m1414),"['Split Pea Soup Light (m1414)', 'Rice Pudding Light (m1033)']",0.05
user_8_dinner,dinner,Crème Brûlée Deluxe (m1047),"['Crème Brûlée Deluxe (m1047)', 'Bagel Spicy (m1705)', 'French Fries (m642)']",0.3
user_9_breakfast,breakfast,Gazpacho Light (m433),"['Gazpacho Light (m433)', 'Potato Leek Soup (m803)', 'Cereal Special (m616)']",0.325
user_10_lunch,lunch,Garden Salad Light (m1211),"['Garden Salad Light (m1211)', 'Breakfast Tacos Special (m1212)', 'Cupcakes Classic (m1793)']",0.2625
user_11_dinner,dinner,Fruit Salad Spicy (m1982),"['Fruit Salad Spicy (m1982)', 'Chocolate Mousse Special (m1534)']",0.05
user_12_lunch,lunch,Couscous Special (m789),"['Couscous Special (m789)', 'Spinach Artichoke Dip Mild (m845)', 'French Fries Classic (m1962)']",0.2
user_13_dinner,dinner,Lentil Soup Special (m532),"['Lentil Soup Special (m532)', 'Banana Split Mild (m1395)', 'Ice Cream Classic (m533)', 'Corn Chowder Deluxe (m323)']",0.35
user_14_dinner,dinner,Hot Tea Spicy (m1416),"['Hot Tea Spicy (m1416)', 'Sorbet Premium (m368)', 'Pineapple Juice Spicy (m301)', 'Broccoli Cheddar Soup Light (m1092)']",0.5375
