user_id,meal_occasion,lead_meal,meal_bundle,goodness_score
user_0_breakfast,breakfast,Creamed Spinach Spicy (m89),"['Creamed Spinach Spicy (m89)', 'Apple Pie Special (m1984)', 'Shrimp Cocktail Spicy (m1995)', 'Wild Rice Deluxe (m1994)']",0.1
user_1_breakfast,breakfast,Stuffed Mushrooms Deluxe (m25),"['Stuffed Mushrooms Deluxe (m25)', 'Biscuits and Gravy Light (m1987)', 'Lentil Soup Premium (m2000)', 'Pasta Carbonara Special (m1996)']",0.39166666666666666
user_2_breakfast,breakfast,Bacon Wrapped Dates Premium (m1097),"['Bacon Wrapped Dates Premium (m1097)', 'Éclair Premium (m1985)', 'Hash Browns Light (m1983)', 'English Muffin Special (m1981)']",0.35
user_3_breakfast,breakfast,Waldorf Salad Classic (m771),"['Waldorf Salad Classic (m771)', 'Wild Rice Deluxe (m1994)', 'Goat Cheese Crostini Special (m1990)', 'Clam Chowder Classic (m1986)']",0.2875
user_4_lunch,lunch,Stuffing Mild (m49),"['Stuffing Mild (m49)', 'Apple Pie Special (m1984)', 'Vegetable Soup Classic (m1988)', 'Wild Rice Deluxe (m1994)']",0.26666666666666666
user_5_lunch,lunch,Split Pea Soup Deluxe (m1665),"['Split Pea Soup Deluxe (m1665)', 'Roasted Vegetables Mild (m1989)', 'Biscuits and Gravy Light (m1987)', 'Fruit Salad Spicy (m1982)']",0.35
user_6_snacks,snacks,Egg Salad (m297),"['Egg Salad (m297)', 'Hash Browns Light (m1983)', 'Éclair Premium (m1985)', 'French Onion Soup Deluxe (m1993)']",0.2875
user_7_dinner,dinner,Chicken Parmesan Special (m1196),"['Chicken Parmesan Special (m1196)', 'French Onion Soup Deluxe (m1993)', 'Split Pea Soup Mild (m1992)', 'Éclair Premium (m1985)']",0.225
user_8_dinner,dinner,Mashed Potatoes Classic (m896),"['Mashed Potatoes Classic (m896)', 'Bruschetta Special (m1997)', 'Biscuits and Gravy Light (m1987)', 'Clam Chowder Classic (m1986)']",0.25
user_9_breakfast,breakfast,Kale Salad (m358),"['Kale Salad (m358)', 'Roasted Vegetables Mild (m1989)', 'Bruschetta Special (m1997)', 'Pasta Carbonara Special (m1996)']",0.35
user_10_lunch,lunch,Samosas Spicy (m1775),"['Samosas Spicy (m1775)', 'French Onion Soup Deluxe (m1993)', 'Pasta Carbonara Special (m1996)', 'Roasted Vegetables Mild (m1989)']",0.5375
user_11_dinner,dinner,Wild Rice Special (m857),"['Wild Rice Special (m857)', 'Brussels Sprouts Special (m1998)', 'Éclair Premium (m1985)', 'Hash Browns Light (m1983)']",0.225
user_12_lunch,lunch,Pineapple Juice (m1486),"['Pineapple Juice (m1486)', 'Brussels Sprouts Special (m1998)', 'Vegetable Soup Classic (m1988)', 'Biscuits and Gravy Light (m1987)']",0.38125
user_13_dinner,dinner,Quinoa Salad Classic (m1917),"['Quinoa Salad Classic (m1917)', 'Bruschetta Special (m1997)', 'Goat Cheese Crostini Special (m1990)', 'French Onion Soup Deluxe (m1993)']",0.2
user_14_dinner,dinner,Lamb Chops (m623),"['Lamb Chops (m623)', 'Wild Rice Deluxe (m1994)', 'Pasta Carbonara Special (m1996)', 'Hash Browns Light (m1983)']",0.35
user_15_breakfast,breakfast,Clam Chowder Mild (m1818),"['Clam Chowder Mild (m1818)', 'Roasted Vegetables Mild (m1989)', 'Split Pea Soup Mild (m1992)', 'Wild Rice Deluxe (m1994)']",0.39166666666666666
user_16_dinner,dinner,Oysters Deluxe (m733),"['Oysters Deluxe (m733)', 'Éclair Premium (m1985)', 'Fruit Salad Spicy (m1982)', 'French Onion Soup Deluxe (m1993)']",0.35
user_17_breakfast,breakfast,Chocolate Milk Spicy (m121),"['Chocolate Milk Spicy (m121)', 'Vegetable Soup Classic (m1988)', 'French Onion Soup Deluxe (m1993)', 'Split Pea Soup Mild (m1992)']",0.2875
user_18_snacks,snacks,Chef Salad (m1171),"['Chef Salad (m1171)', 'Mediterranean Salad Premium (m1991)', 'Goat Cheese Crostini Special (m1990)', 'Bruschetta Special (m1997)']",0.475
user_19_lunch,lunch,Crepes Premium (m26),"['Crepes Premium (m26)', 'Apple Pie Special (m1984)', 'Goat Cheese Crostini Special (m1990)', 'English Muffin Special (m1981)']",0.35
user_20_snacks,snacks,Cappuccino Light (m337),"['Cappuccino Light (m337)', 'Pasta Carbonara Special (m1996)', 'Vegetable Soup Classic (m1988)', 'Hash Browns Light (m1983)']",0.475
user_21_dinner,dinner,Lamb Chops (m623),"['Lamb Chops (m623)', 'Goat Cheese Crostini Special (m1990)', 'Vegetable Soup Classic (m1988)', 'Mediterranean Salad Premium (m1991)']",0.2875
user_22_dinner,dinner,Mediterranean Salad Premium (m1991),"['Mediterranean Salad Premium (m1991)', 'Apple Pie Special (m1984)', 'Fruit Salad Spicy (m1982)', 'Red Velvet Cake (m1999)']",0.19375
