user_id,meal_occasion,lead_meal,meal_bundle,goodness_score
user_0_breakfast,breakfast,Chef Salad Spicy (m661),"['Chef Salad Spicy (m661)', 'Goat Cheese Crostini Special (m1990)', 'Mediterranean Salad Premium (m1991)', 'Fruit Salad Spicy (m1982)']",0.35
user_1_breakfast,breakfast,Custard (m1678),"['Custard (m1678)', 'Pasta Carbonara Special (m1996)', 'Shrimp Cocktail Spicy (m1995)', 'Fruit Salad Spicy (m1982)']",0.43333333333333335
user_2_breakfast,breakfast,Samosas Light (m1618),"['Samosas Light (m1618)', 'Goat Cheese Crostini Special (m1990)', 'Lentil Soup Premium (m2000)', 'Mediterranean Salad Premium (m1991)']",0.35
user_3_breakfast,breakfast,Soy Milk Premium (m1454),"['Soy Milk Premium (m1454)', 'Vegetable Soup Classic (m1988)', 'English Muffin Special (m1981)', 'Hash Browns Light (m1983)']",0.5375
user_4_lunch,lunch,Cheese Platter Light (m331),"['Cheese Platter Light (m331)', 'Éclair Premium (m1985)', 'Hash Browns Light (m1983)', 'Biscuits and Gravy Light (m1987)']",0.39166666666666666
user_5_lunch,lunch,Beef Stew Deluxe (m1980),"['Beef Stew Deluxe (m1980)', 'Brussels Sprouts Special (m1998)', 'Red Velvet Cake (m1999)', 'English Muffin Special (m1981)']",0.5166666666666666
user_6_snacks,snacks,Mushroom Soup Classic (m288),"['Mushroom Soup Classic (m288)', 'French Onion Soup Deluxe (m1993)', 'Goat Cheese Crostini Special (m1990)', 'English Muffin Special (m1981)']",0.475
user_7_dinner,dinner,Sushi Roll Deluxe (m1322),"['Sushi Roll Deluxe (m1322)', 'Wild Rice Deluxe (m1994)', 'Hash Browns Light (m1983)', 'Mediterranean Salad Premium (m1991)']",0.43333333333333335
user_8_dinner,dinner,Coleslaw Light (m1858),"['Coleslaw Light (m1858)', 'Apple Pie Special (m1984)', 'Goat Cheese Crostini Special (m1990)', 'Fruit Salad Spicy (m1982)']",0.5
user_9_breakfast,breakfast,Sautéed Mushrooms Mild (m654),"['Sautéed Mushrooms Mild (m654)', 'Apple Pie Special (m1984)', 'Red Velvet Cake (m1999)', 'Shrimp Cocktail Spicy (m1995)']",0.35
user_10_lunch,lunch,Bean Soup (m1261),"['Bean Soup (m1261)', 'Shrimp Cocktail Spicy (m1995)', 'Apple Pie Special (m1984)', 'French Onion Soup Deluxe (m1993)']",0.35
user_11_dinner,dinner,Lamb Kebab Deluxe (m1839),"['Lamb Kebab Deluxe (m1839)', 'Clam Chowder Classic (m1986)', 'Shrimp Cocktail Spicy (m1995)', 'Éclair Premium (m1985)']",0.5375
user_12_lunch,lunch,Vegetable Stir Fry Spicy (m213),"['Vegetable Stir Fry Spicy (m213)', 'Roasted Vegetables Mild (m1989)', 'Biscuits and Gravy Light (m1987)', 'French Onion Soup Deluxe (m1993)']",0.475
user_13_dinner,dinner,Green Beans Spicy (m1828),"['Green Beans Spicy (m1828)', 'Vegetable Soup Classic (m1988)', 'Goat Cheese Crostini Special (m1990)', 'Pasta Carbonara Special (m1996)']",0.575
user_14_dinner,dinner,Samosas Premium (m935),"['Samosas Premium (m935)', 'Bruschetta Special (m1997)', 'Apple Pie Special (m1984)', 'Pasta Carbonara Special (m1996)']",0.475
user_15_breakfast,breakfast,Beef Stew (m45),"['Beef Stew (m45)', 'Roasted Vegetables Mild (m1989)', 'Fruit Salad Spicy (m1982)', 'Clam Chowder Classic (m1986)']",0.5583333333333333
user_16_dinner,dinner,Pineapple Juice Mild (m442),"['Pineapple Juice Mild (m442)', 'Mediterranean Salad Premium (m1991)', 'Pasta Carbonara Special (m1996)', 'Goat Cheese Crostini Special (m1990)']",0.575
user_17_breakfast,breakfast,Cheesecake Special (m1505),"['Cheesecake Special (m1505)', 'Lentil Soup Premium (m2000)', 'Éclair Premium (m1985)', 'Vegetable Soup Classic (m1988)']",0.35
user_18_snacks,snacks,Sliders Spicy (m916),"['Sliders Spicy (m916)', 'Lentil Soup Premium (m2000)', 'Brussels Sprouts Special (m1998)', 'Fruit Salad Spicy (m1982)']",0.475
user_19_lunch,lunch,Mocha (m1576),"['Mocha (m1576)', 'Red Velvet Cake (m1999)', 'Éclair Premium (m1985)', 'Bruschetta Special (m1997)']",0.39166666666666666
user_20_snacks,snacks,Chicken Fried Rice Light (m1976),"['Chicken Fried Rice Light (m1976)', 'Shrimp Cocktail Spicy (m1995)', 'Hash Browns Light (m1983)', 'English Muffin Special (m1981)']",0.475
user_21_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Éclair Premium (m1985)', 'Clam Chowder Classic (m1986)', 'Biscuits and Gravy Light (m1987)']",0.5375
user_22_dinner,dinner,Vegetable Soup Premium (m1928),"['Vegetable Soup Premium (m1928)', 'Lentil Soup Premium (m2000)', 'Brussels Sprouts Special (m1998)', 'Biscuits and Gravy Light (m1987)']",0.19375
user_23_snacks,snacks,Tomato Soup (m937),"['Tomato Soup (m937)', 'French Onion Soup Deluxe (m1993)', 'Split Pea Soup Mild (m1992)', 'Mediterranean Salad Premium (m1991)']",0.1
user_24_dinner,dinner,Bagel Spicy (m1705),"['Bagel Spicy (m1705)', 'Pasta Carbonara Special (m1996)', 'Éclair Premium (m1985)', 'Split Pea Soup Mild (m1992)']",0.5583333333333333
user_25_snacks,snacks,Chef Salad Special (m1732),"['Chef Salad Special (m1732)', 'Mediterranean Salad Premium (m1991)', 'Roasted Vegetables Mild (m1989)', 'Brussels Sprouts Special (m1998)']",0.475
user_26_snacks,snacks,Cheesecake Deluxe (m565),"['Cheesecake Deluxe (m565)', 'French Onion Soup Deluxe (m1993)', 'Shrimp Cocktail Spicy (m1995)', 'Lentil Soup Premium (m2000)']",0.6
user_27_snacks,snacks,Matcha Latte Premium (m1682),"['Matcha Latte Premium (m1682)', 'Pasta Carbonara Special (m1996)', 'Goat Cheese Crostini Special (m1990)', 'French Onion Soup Deluxe (m1993)']",0.6
user_28_dinner,dinner,Hash Browns Premium (m265),"['Hash Browns Premium (m265)', 'French Onion Soup Deluxe (m1993)', 'Biscuits and Gravy Light (m1987)', 'Mediterranean Salad Premium (m1991)']",0.225
user_29_lunch,lunch,Crab Cakes Spicy (m412),"['Crab Cakes Spicy (m412)', 'English Muffin Special (m1981)', 'Fruit Salad Spicy (m1982)', 'Éclair Premium (m1985)']",0.5375
user_30_dinner,dinner,Clams Casino Deluxe (m1565),"['Clams Casino Deluxe (m1565)', 'Red Velvet Cake (m1999)', 'Éclair Premium (m1985)', 'Wild Rice Deluxe (m1994)']",0.44375
user_31_snacks,snacks,Sushi Roll Deluxe (m227),"['Sushi Roll Deluxe (m227)', 'Red Velvet Cake (m1999)', 'Shrimp Cocktail Spicy (m1995)', 'Split Pea Soup Mild (m1992)']",0.6
user_32_snacks,snacks,Meatball Sub Spicy (m402),"['Meatball Sub Spicy (m402)', 'Goat Cheese Crostini Special (m1990)', 'Éclair Premium (m1985)', 'English Muffin Special (m1981)']",0.6
user_33_breakfast,breakfast,Caesar Salad Mild (m1129),"['Caesar Salad Mild (m1129)', 'Biscuits and Gravy Light (m1987)', 'Pasta Carbonara Special (m1996)', 'Roasted Vegetables Mild (m1989)']",0.5375
user_34_breakfast,breakfast,Potato Leek Soup Mild (m1309),"['Potato Leek Soup Mild (m1309)', 'Bruschetta Special (m1997)', 'Mediterranean Salad Premium (m1991)', 'Clam Chowder Classic (m1986)']",0.2875
user_35_breakfast,breakfast,Green Beans (m325),"['Green Beans (m325)', 'Pasta Carbonara Special (m1996)', 'Fruit Salad Spicy (m1982)', 'Brussels Sprouts Special (m1998)']",0.26666666666666666
user_36_breakfast,breakfast,Chocolate Cake Deluxe (m1507),"['Chocolate Cake Deluxe (m1507)', 'Fruit Salad Spicy (m1982)', 'Goat Cheese Crostini Special (m1990)', 'Hash Browns Light (m1983)']",0.5583333333333333
user_37_breakfast,breakfast,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Biscuits and Gravy Light (m1987)', 'English Muffin Special (m1981)', 'Brussels Sprouts Special (m1998)']",0.43333333333333335
user_38_breakfast,breakfast,Mushroom Soup Classic (m1299),"['Mushroom Soup Classic (m1299)', 'English Muffin Special (m1981)', 'Shrimp Cocktail Spicy (m1995)', 'Pasta Carbonara Special (m1996)']",0.5375
user_39_dinner,dinner,Chef Salad Light (m813),"['Chef Salad Light (m813)', 'Fruit Salad Spicy (m1982)', 'Mediterranean Salad Premium (m1991)', 'Lentil Soup Premium (m2000)']",0.2
user_40_snacks,snacks,Brownies Mild (m425),"['Brownies Mild (m425)', 'Split Pea Soup Mild (m1992)', 'Roasted Vegetables Mild (m1989)', 'Éclair Premium (m1985)']",0.6
user_41_dinner,dinner,Carrot Cake Spicy (m1301),"['Carrot Cake Spicy (m1301)', 'Bruschetta Special (m1997)', 'Éclair Premium (m1985)', 'Goat Cheese Crostini Special (m1990)']",0.475
user_42_snacks,snacks,Pho Light (m80),"['Pho Light (m80)', 'Fruit Salad Spicy (m1982)', 'Wild Rice Deluxe (m1994)', 'Red Velvet Cake (m1999)']",0.475
user_43_breakfast,breakfast,Spring Rolls Premium (m1252),"['Spring Rolls Premium (m1252)', 'Wild Rice Deluxe (m1994)', 'English Muffin Special (m1981)', 'Shrimp Cocktail Spicy (m1995)']",0.5375
user_44_snacks,snacks,Lentil Soup Deluxe (m1610),"['Lentil Soup Deluxe (m1610)', 'Lentil Soup Premium (m2000)', 'Mediterranean Salad Premium (m1991)', 'English Muffin Special (m1981)']",0.1
user_45_snacks,snacks,Potato Salad Special (m1225),"['Potato Salad Special (m1225)', 'Split Pea Soup Mild (m1992)', 'Clam Chowder Classic (m1986)', 'Biscuits and Gravy Light (m1987)']",0.1
user_46_snacks,snacks,Corn on the Cob (m58),"['Corn on the Cob (m58)', 'Split Pea Soup Mild (m1992)', 'Éclair Premium (m1985)', 'Brussels Sprouts Special (m1998)']",0.475
user_47_lunch,lunch,Yams Mild (m538),"['Yams Mild (m538)', 'Wild Rice Deluxe (m1994)', 'Red Velvet Cake (m1999)', 'Bruschetta Special (m1997)']",0.5583333333333333
user_48_snacks,snacks,Meatball Sub Spicy (m402),"['Meatball Sub Spicy (m402)', 'Roasted Vegetables Mild (m1989)', 'Wild Rice Deluxe (m1994)', 'Clam Chowder Classic (m1986)']",0.475
user_49_snacks,snacks,Hot Tea Spicy (m1416),"['Hot Tea Spicy (m1416)', 'Shrimp Cocktail Spicy (m1995)', 'Lentil Soup Premium (m2000)', 'Mediterranean Salad Premium (m1991)']",0.6
user_50_lunch,lunch,Taco Salad Classic (m653),"['Taco Salad Classic (m653)', 'Mediterranean Salad Premium (m1991)', 'Wild Rice Deluxe (m1994)', 'Goat Cheese Crostini Special (m1990)']",0.5166666666666666
user_51_dinner,dinner,Fruit Salad Classic (m1915),"['Fruit Salad Classic (m1915)', 'Apple Pie Special (m1984)', 'Clam Chowder Classic (m1986)', 'Vegetable Soup Classic (m1988)']",0.475
user_52_lunch,lunch,Mozzarella Sticks Spicy (m1636),"['Mozzarella Sticks Spicy (m1636)', 'Wild Rice Deluxe (m1994)', 'Red Velvet Cake (m1999)', 'Éclair Premium (m1985)']",0.5375
user_53_snacks,snacks,Prosciutto Melon Mild (m1582),"['Prosciutto Melon Mild (m1582)', 'Red Velvet Cake (m1999)', 'Fruit Salad Spicy (m1982)', 'Éclair Premium (m1985)']",0.6
user_54_snacks,snacks,Cola Premium (m1559),"['Cola Premium (m1559)', 'Brussels Sprouts Special (m1998)', 'Lentil Soup Premium (m2000)', 'Biscuits and Gravy Light (m1987)']",0.475
user_55_dinner,dinner,Strawberry Smoothie (m133),"['Strawberry Smoothie (m133)', 'Clam Chowder Classic (m1986)', 'Bruschetta Special (m1997)', 'Red Velvet Cake (m1999)']",0.43333333333333335
user_56_snacks,snacks,Dumplings Spicy (m431),"['Dumplings Spicy (m431)', 'Hash Browns Light (m1983)', 'Mediterranean Salad Premium (m1991)', 'Bruschetta Special (m1997)']",0.6
user_57_dinner,dinner,Fruit Tart Deluxe (m1689),"['Fruit Tart Deluxe (m1689)', 'Split Pea Soup Mild (m1992)', 'Bruschetta Special (m1997)', 'Goat Cheese Crostini Special (m1990)']",0.47500000000000003
user_58_lunch,lunch,Rice Pilaf Premium (m1427),"['Rice Pilaf Premium (m1427)', 'Mediterranean Salad Premium (m1991)', 'Lentil Soup Premium (m2000)', 'Goat Cheese Crostini Special (m1990)']",0.44375
user_59_dinner,dinner,Samosas Spicy (m1775),"['Samosas Spicy (m1775)', 'Bruschetta Special (m1997)', 'Split Pea Soup Mild (m1992)', 'Fruit Salad Spicy (m1982)']",0.5375
user_60_snacks,snacks,Mediterranean Salad Spicy (m1234),"['Mediterranean Salad Spicy (m1234)', 'Red Velvet Cake (m1999)', 'Wild Rice Deluxe (m1994)', 'Fruit Salad Spicy (m1982)']",0.475
user_61_snacks,snacks,Creamed Spinach Spicy (m89),"['Creamed Spinach Spicy (m89)', 'Red Velvet Cake (m1999)', 'Apple Pie Special (m1984)', 'Hash Browns Light (m1983)']",0.6
